FRAME_NR,ROBOT_ID,ODOMETRY X,ODOMETRY Y,ODOMETRY THETA,POSITION X,POSITION Y,POSITION THETA,HAS GOAL,X_MIN,X_MAX,Y_MIN,Y_MAX,TIMESTAMP
116,0,1.2592798778704297,2.2174979942084923,0.941437773056353,0.4899948260815411,-0.22387008320256654,1.6017,False,0,0,0,0,8.934771060943604
117,0,1.2808574977416916,2.2454117260966036,0.9401898087916992,0.4878897462167513,-0.18971384606450734,1.6040000303627373,False,0,0,0,0,8.972505331039429
118,0,1.3093441573443143,2.28126370082977,0.940722424174619,0.4913323542318296,-0.14978094551056895,1.5967444262043573,False,0,0,0,0,9.010525703430176
119,0,1.330790705710925,2.308792563878159,0.9394289858318968,0.4920109898593448,-0.11511862014669215,1.6027367092790528,False,0,0,0,0,9.048481941223145
120,0,1.3560970313208283,2.3401761692982377,0.9374217420886641,0.49439865062658195,-0.08491829905169392,1.6007774451596486,False,0,0,0,0,9.086179971694946
121,0,1.3776577097810454,2.3685511398486385,0.9380246112860112,0.4957093712782042,-0.042595425278061934,1.597698530154063,False,0,0,0,0,9.123807668685913
122,0,1.3995219206749507,2.396364904792569,0.9384411628212499,0.4960705335168308,-0.015984685213547668,1.6092861225603203,False,0,0,0,0,9.161758661270142
123,0,1.4246041151382585,2.428126191914636,0.9399305173391065,0.49811184787727136,0.01836084229134445,1.5986675956332406,False,0,0,0,0,9.200499057769775
124,0,1.4495868914662267,2.4599643203893953,0.9367391281010325,0.5002804890174597,0.06344365541885956,1.591905558388406,False,0,0,0,0,9.240076065063477
125,0,1.474440322690987,2.491677415296057,0.935142684886472,0.5030446113614759,0.09811031629379166,1.6013820597482684,False,0,0,0,0,9.277787923812866
126,0,1.4959454675476664,2.5190594551635384,0.8910527764395407,0.5030179719744641,0.13791830560333093,1.5563119876472413,False,0,0,0,0,9.315303802490234
127,0,1.5224527162951749,2.5504480279297113,0.8908980369555578,0.5068331204690417,0.1687915479189224,1.5979889406569712,False,0,0,0,0,9.352891206741333
128,0,1.544986510093571,2.5771138364995645,0.892786035632448,0.5084952275430968,0.20685242148423086,1.6070470375122885,False,0,0,0,0,9.390554428100586
129,0,1.5678270596488018,2.6043115320204815,0.8966882676951307,0.512147170601938,0.23646403121410722,1.591527338507758,False,0,0,0,0,9.428201913833618
130,0,1.5905022129196051,2.6313448269171804,0.8981352127607921,0.5118930011044667,0.2442174353158266,1.59422602133435,False,0,0,0,0,9.465657472610474
131,0,1.619106498124111,2.666427953098608,0.8955691386764245,0.502,0.269,1.5914,False,0,0,0,0,9.50340747833252
132,0,1.6444528586484106,2.697543757923891,0.8911186579508787,0.509,0.301,1.5865,False,0,0,0,0,9.54093885421753
133,0,1.6672625778201433,2.724477945851874,0.8897761201703099,0.508939486094312,0.34107352701989424,1.5804,False,0,0,0,0,9.578461408615112
134,0,1.6898730986268682,2.7510102620700776,0.8902359849470325,0.512,0.369,1.5828,False,0,0,0,0,9.616038084030151
135,0,1.7153119316097634,2.7821959639499503,0.8896343681870086,0.5138871589706889,0.4080009444779099,1.591,False,0,0,0,0,9.653745889663696
136,0,1.7372576061009777,2.809623607830519,0.8850135200511096,0.5138573095143814,0.4410187718930021,1.582453447514065,False,0,0,0,0,9.691241025924683
137,0,1.7625636816468886,2.8406701841849977,0.8857817923282295,0.516981643943535,0.4850622220180977,1.5791673055783892,False,0,0,0,0,9.728960990905762
138,0,1.7848988320881936,2.867893454276645,0.888044798510442,0.5191101562990917,0.5259977496252481,1.5811684707113292,False,0,0,0,0,9.766717433929443
139,0,1.8074900069801412,2.895075182437263,0.8932779881880767,0.5209391596197804,0.5550636998328136,1.5881406859669103,False,0,0,0,0,9.80423879623413
140,0,1.8330394869282276,2.9251473506703864,0.889042206493144,0.5237449279043961,0.5957811070442094,1.586016559948962,False,0,0,0,0,9.841927289962769
141,0,1.8577609707654912,2.955427684366557,0.8835045603269462,0.5257329957998895,0.6357688887468559,1.589273720262733,False,0,0,0,0,9.87952709197998
142,0,1.8817307685619857,2.9848941836516376,0.8777595733577518,0.5275748724402244,0.6737389918409279,1.5817631200129663,False,0,0,0,0,9.917107820510864
143,0,1.9025962479730887,3.0104199975839268,0.8765579797779727,0.5288342492440675,0.7020379889653706,1.5721383102329431,False,0,0,0,0,9.954766988754272
144,0,1.926142599844396,3.0388671139091135,0.8780145842717213,0.5286805626525151,0.7389655598859944,1.573594914726692,False,0,0,0,0,9.99221396446228
145,0,1.9462139163938272,3.063915378124653,0.8774236613143005,0.5287476733954847,0.7651795643936398,1.559582626740963,False,0,0,0,0,10.029994487762451
146,0,1.9677656183092236,3.091586938231449,0.8855216353660212,0.5296689138334132,0.7955348602154927,1.5643465985903988,False,0,0,0,0,10.068758487701416
147,0,1.9868204810165913,3.1157073560941546,0.8908879828719711,0.5287646940122147,0.8274985300797261,1.5769629034278365,False,0,0,0,0,10.106508255004883
148,0,2.0050460902235043,3.1391491091604684,0.8916851121410793,0.5306700524907751,0.8578630806474283,1.5642904413123646,False,0,0,0,0,10.144113063812256
149,0,2.02850130320151,3.1690295692584716,0.894443054544678,0.5306550296008501,0.8993137265527418,1.5845778769365184,False,0,0,0,0,10.181847333908081
150,0,2.0460794704573155,3.191446509481406,0.8964309890844006,0.5311537751547956,0.9262996127240649,1.5957741692703682,False,0,0,0,0,10.219578742980957
151,0,2.066251531227629,3.2172825080647853,0.8956510024698433,0.530081813272826,0.9550330619347179,1.5955555494096154,False,0,0,0,0,10.257466793060303
152,0,2.083735251242973,3.2387098890779655,0.8951181001616655,0.5335745574718279,0.9906794299708158,1.597511534822712,False,0,0,0,0,10.294983386993408
153,0,2.1011170025687687,3.2605590322962668,0.8970588900562466,0.5323791212112827,1.018930218789848,1.5924537636633647,False,0,0,0,0,10.332767486572266
154,0,2.119986717898829,3.284207395240139,0.8963219767357727,0.5315745113549819,1.0492833376686275,1.5886543200970051,False,0,0,0,0,10.370175838470459
155,0,2.137057775981985,3.3060795042135096,0.8976861754929534,0.5300084657417033,1.0797277304306743,1.5961641987571804,False,0,0,0,0,10.407585144042969
156,0,2.1552392916147265,3.3290940925083707,0.8959885445853859,0.5291326694605665,1.1090444793288636,1.594466567849613,False,0,0,0,0,10.444931745529175
157,0,2.170596308017625,3.348569849184068,0.894974381411648,0.531,1.137,1.6023,False,0,0,0,0,10.482237815856934
158,0,2.187965096095997,3.3691583666224485,0.8919682997892138,0.5308592128427674,1.1606497975527914,1.5998888906155477,False,0,0,0,0,10.519576072692871
159,0,2.20306334408739,3.386938918996311,0.8869383262418268,0.5319082158496558,1.177325880707896,1.594870026452613,False,0,0,0,0,10.556905746459961
160,0,2.21942771663332,3.4060920690984693,0.882852139431867,0.5340791868473446,1.206022476939921,1.5832474777497596,False,0,0,0,0,10.594414949417114
161,0,2.233162527920609,3.4224415965163093,0.8828814986499982,0.5328863880279356,1.2300593770944424,1.5848977834808622,False,0,0,0,0,10.631771087646484
162,0,2.2481812863941775,3.4407600228346835,0.8845298937773861,0.5348808293536325,1.256879895385085,1.5876,False,0,0,0,0,10.668975114822388
163,0,2.2611761020548733,3.4562168311921218,0.8861434270069938,0.5360490325032496,1.2828497613726966,1.588672420691494,False,0,0,0,0,10.706462621688843
